"Tarih","Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"2026-05-17","Istanbul","000220201230","stoprdapp04","1005.26","235.33","2062.51","769.93","23.41","4.1:1","29","Linux: 1 | VMware ESX: 16 | Unknown: 4 | AIX: 8",""
"2026-05-17","Istanbul","000220201231","stoprdapp04","1005.26","210.67","2460.95","794.59","20.96","4.6:1","25","Linux: 1 | VMware ESX: 12 | Unknown: 4 | AIX: 8",""
"2026-05-17","Istanbul","000297600649","stoprdapp04","586.8","376.26","1581","210.54","64.12","3.3:1","55","Unknown: 12 | Linux: 2 | VMware ESX: 12 | Windows: 14 | AIX: 15",""
"2026-05-17","Istanbul","000297700507","stoprdapp04","766.4","248.88","538.21","517.52","32.47","2.4:1","37","Unknown: 10 | Windows: 1 | VMware ESX: 15 | Linux: 4 | AIX: 7",""
"2026-05-17","Ankara","000220201232","stodrcapp02","1005.26","157.82","1307.33","847.44","15.7","3.8:1","9","VMware ESX: 5 | Unknown: 2 | AIX: 2",""
"2026-05-17","Ankara","000297601651","stodrcapp02","489","229.28","1097.35","259.72","46.89","3:1","25","AIX: 10 | VMware ESX: 5 | Unknown: 7 | Windows: 3",""
"2026-05-17","Ankara","000297601653","stodrcapp02","489","337.03","1227.8","151.97","68.92","2.8:1","9","VMware ESX: 5 | Unknown: 4",""
"2026-05-17","Kos","000297600630","stoprdapp05","47.73","40.03","162.1","7.7","83.87","4.7:1","15","Linux: 2 | VMware ESX: 7 | Unknown: 1 | AIX: 5",""
"2026-05-17","Kos","000297600631","stoprdapp05","195.6","161.85","529.26","33.75","82.75","2.7:1","37","Unknown: 4 | Windows: 2 | VMware ESX: 17 | Linux: 2 | AIX: 12",""
"2026-05-17","---","TOPLAM ANKARA","","1983.26","724.13","3632.48","1259.13","36.51","","","",""
"2026-05-17","---","TOPLAM ISTANBUL","","3363.72","1071.14","6642.67","2292.58","31.84","","","",""
"2026-05-17","---","TOPLAM KOS","","243.33","201.88","691.36","41.45","82.97","","","",""
"2026-05-17","===","GENEL TOPLAM","","5590.31","1997.15","10966.51","3593.16","35.73","","","",""
