"Lokasyon","Kabinet","IP","Total (TB)","Used (TB)","Subscribed (TB)","Free (TB)","Doluluk (%)","Data Reduction","Host Sayisi","OS Dagilimi","Versiyon"
"Istanbul","HW007","10.81.164.37","1190.16","326.44","1587.94","863.72","27.43","3.28:1","117","Linux: 14 | Windows: 14 | VMware ESX: 61 | AIX: 28","6.1.8.SPH5"
"Istanbul","HW005","10.81.164.39","1190.16","460","2549.84","730.16","38.65","3.21:1","112","Linux: 14 | Windows: 16 | VMware ESX: 49 | AIX: 33","6.1.8.SPH5"
"Istanbul","HW004","10.81.165.96","1642.84","749.38","2507.96","893.46","45.61","3.25:1","38","Linux: 16 | VMware ESX: 3 | AIX: 19","6.1.6.SPH51"
"Istanbul","HW002","10.81.165.68","1642.84","620.1","2373.4","1022.74","37.75","3.27:1","103","Linux: 17 | Windows: 4 | VMware ESX: 60 | AIX: 22","6.1.6.SPH51"
"Istanbul","HW005_DE39","10.81.164.190","1690.6","366.41","1594.27","1324.19","21.67","3.26:1","33","Linux: 6 | Windows: 9 | VMware ESX: 8 | AIX: 10","6.1.8.SPH36"
"Istanbul","HW001_AT32","10.81.165.4","1690.6","172.12","1043.77","1518.48","10.18","3.23:1","73","Linux: 12 | Windows: 11 | VMware ESX: 23 | AIX: 27","6.1.8.SPH36"
"Istanbul","HW005_AT37","10.81.165.143","1690.6","151.76","822.02","1538.84","8.98","3.28:1","37","Linux: 5 | Windows: 2 | VMware ESX: 9 | AIX: 21","6.1.8.SPH36"
"IBTech","HW005_IBT","10.131.9.62","164.28","15.63","83","148.65","9.51","2.69:1","3","VMware ESX: 3","6.1.6.SPH50"
"Ankara","HW001","10.25.166.137","1642.84","939.04","3623.66","703.8","57.16","3.26:1","157","Linux: 17 | Windows: 13 | VMware ESX: 83 | AIX: 44","6.1.6.SPH51"
"Ankara","HW005","10.25.166.213","1642.84","1030.23","4206.71","612.61","62.71","3.26:1","105","Linux: 15 | Windows: 22 | VMware ESX: 5 | AIX: 63","6.1.6.SPH51"
"Ankara","HW001_SOL5","10.25.166.128","1595.22","277.08","2293.82","1318.14","17.37","3.25:1","135","Linux: 25 | VMware ESX: 87 | AIX: 23","6.1.8.SPH36"
"Ankara","HW002_SOL5","10.25.166.130","1595.22","393.68","2553.6","1201.54","24.68","3.22:1","149","Windows: 8 | Linux: 17 | VMware ESX: 90 | AIX: 34","6.1.8.SPH36"
"---","TOPLAM ANKARA","","6476.12","2640.03","12677.79","3836.09","40.77","","","",""
"---","TOPLAM IBTECH","","164.28","15.63","83","148.65","9.51","","","",""
"---","TOPLAM ISTANBUL","","10737.8","2846.21","12479.2","7891.59","26.51","","","",""
"===","GENEL TOPLAM","","17378.2","5501.87","25239.99","11876.33","31.66","","","",""
